ID,RA,Dec,mu_eff,mu_std_eff,alpha,alpha_std,gamma,gamma_std,mu_king,mu_std_king,rc,rc_std,rt,rt_std,rfit,Tile
B10,9.4345,-73.2108,16.7807,1.3259,1.0,0.7859999999999999,2.8336,0.6223,17.1903,1.6767,0.8,0.7697,28.8144,25.8032,12,3_4
B100,15.0999,-72.0888,17.9586,0.1009,4.0161,0.4312,4.4556,0.3642,17.7867,0.1593,2.1189,0.2452,19.9143,1.1616,16,4_6
B103,15.2375,-73.1541,20.025,0.2106,2.8672,1.0209,2.01,0.4366,20.2372,0.2379,4.4961,1.4445,28.8173,13.4271,16,3_5
B105,15.4037,-72.4073,19.4054,0.2267,2.9823,0.9132,2.3744,0.4299,19.4863,0.1899,3.1335,0.6005,37.2568,14.2246,16,4_6
B108,15.4637,-72.1821,21.3896,0.2304,4.3276,2.5759,2.01,0.9581,21.5125,0.2269,6.4505,3.0429,31.7487,25.9787,16,4_6
B111,15.5094,-71.0208,21.7765,0.1834,2.7348,0.9275,2.01,0.4513,21.9482,0.1921,3.946,1.1301,28.1309,16.1872,12,5_6
B113,15.7273,-73.33800000000002,20.2513,0.2214,5.069,2.2621,3.9323,1.7368,20.2493,0.2017,3.9743,1.0255,18.7719,4.354,12,3_6
B115,15.85,-72.6516,19.3502,0.2659,3.4426,1.8396,2.01,0.7405,19.5728,0.2741,5.3858,2.5129,33.5906,30.0747,16,4_6
B117,16.0545,-73.2603,19.6386,0.1201,3.9554,0.8826,2.5119,0.4226,19.6945,0.1277,4.1377,0.6924,32.9533,10.1543,16,3_6
B119,16.0813,-73.1678,,,,,,,21.9624,0.1852,9.7308,7.7105,12.2748,2.8616,10,3_6
B12,9.5871,-73.2707,,,,,,,21.9586,0.2444,8.0427,6.4637,17.3779,10.1012,13,3_4
B121,16.1257,-72.6191,19.4529,0.2111,5.2974,2.6205,2.8145,1.2579,19.6532,0.1104,8.7471,2.0147,19.2921,2.0158,16,4_6
B122,16.1007,-71.7144,21.9156,0.347,6.8304,5.4009,2.01,1.1482,22.4695,0.1807,20.5228,15.0574,56.0869,48.2957,32,5_6
B124,16.2608,-73.0427,20.5711,0.1331,6.545,2.5264,4.1541,1.8412,20.6644,0.1059,6.7157,1.4653,16.759,2.1978,13,3_6
B128,16.4628,-71.9534,,,,,,,21.4548,0.2648,9.5932,6.1549,20.3554,6.8696,16,4_6
B137,17.6174,-72.9574,20.176,0.122,2.7563,0.5486,2.01,0.2375,20.3498,0.1591,3.8012,0.7666,38.8045,18.6374,16,3_6
B165,22.7115,-73.434,21.4553,0.2456,6.2719,2.4633,4.8285,1.8572,21.552,0.2291,5.02,1.2456,18.2917,1.8266,16,3_8
B18,10.2765,-72.7259,20.348,0.1352,3.3927,1.2398,3.594,1.45,20.3377,0.1288,2.7342,0.5958,13.692,4.9107,6,4_4
B21,10.3142,-72.8316,21.2905,0.4056,2.7567,2.7247,2.2992,1.9718,21.5266,0.1077,8.2288,3.7457,8.6292,0.7432,8,4_4
B22,10.3361,-72.8244,18.3205,0.6608,0.6564,0.3208,2.0389,0.235,18.9584,0.3906,1.0866,0.3177,15.9434,6.8469,6,4_4
B26,10.189,-73.73899999999998,21.2318,0.2921,2.4323,1.5161,2.6145,1.4343,21.5098,0.1017,4.8178,1.2984,8.1899,0.898,6,3_4
B34A,11.1054,-72.9446,19.4999,0.4337,5.0254,4.0421,5.4479,4.8372,19.7733,0.3079,5.5641,2.719,10.478,1.2509,10,3_4
B39,11.3626,-73.48,20.4925,0.0881,5.0938,0.9647,2.01,0.2657,20.6108,0.1221,7.1483,1.3767,53.7638,21.2281,25,3_4
B52,12.4189,-73.0582,21.4107,0.1648,13.4739,8.8161,2.01,1.2422,21.6488,0.1158,35.0088,25.9154,62.4968,33.3674,40,3_5
B65,13.1845,-72.9795,17.9299,0.0751,8.6211,1.3839,6.5954,1.2608,17.8765,0.0961,4.6178,0.5106,20.0439,1.3242,16,3_5
B70,13.3609,-71.7489,19.68,0.1136,1.6821,0.1772,2.2293,0.0866,19.6367,0.0967,1.5119,0.1021,84.1876,19.9707,20,5_5
B71,13.3237,-72.766,18.6341,0.1302,13.1923,4.9444,7.4927,3.6981,18.7111,0.1192,9.3932,1.8182,22.4455,1.4741,20,4_5
B79,13.6992,-72.4661,18.7261,0.1995,5.2687,1.6740000000000002,2.8015,0.6338,18.6924,0.208,4.2339,0.9377,57.7118,28.286,25,4_5
B80,13.7084,-73.2241,20.1272,0.3976,2.0988,1.2028,2.01,0.6277,20.3925,0.3403,3.1078,1.2794,29.8347,26.3571,12,3_5
B9,9.3155,-72.9626,20.9702,0.4197,3.7241,2.9568,2.3136,1.3327,21.3018,0.201,8.7952,3.3519,17.8188,2.1992,16,4_4
B96,14.8078,-72.6089,20.7518,0.0819999999999999,16.7165,5.7488,5.7935,2.6687,20.793000000000006,0.0741,13.704,2.487,31.6715,3.2103,25,4_6
B97,14.9158,-71.7446,21.8702,0.2645,4.4714,3.8957,2.01,1.6052,22.08,0.157,10.0733,6.7533,18.9238,8.5614,12,5_6
B99,15.118,-73.0865,20.2067,0.2006,5.2612,2.2966,2.4045,0.8370000000000001,20.2743,0.1882,6.0245,1.7037,39.8172,19.436,20,3_5
BS102,15.312,-73.7949,21.6427,0.218,4.1505,2.4746,2.2248,1.1677,21.7436,0.1799,5.4747,2.1488,26.4082,18.8956,12,3_6
BS128,16.3894,-73.4904,,,,,,,21.2938,0.2229,3.4873,2.2015,23.2745,54.6549,6,3_6
