ID,rcore_eff,rcore_err_eff,L_eff,L_err_eff,rcore_king,rcore_err_king,c,c_err,rh_king,rh_err_king,L_king,L_err_king,logt,logt_inf,logt_sup,E(B-V),Z,Mass,Mass_sup,Mass_inf,log(M/L),log(t_rh)
B10,0.2407754185915605,0.1656951139718441,3.949279892402666,0.5894935524733994,0.2424735918457077,0.2368295496397411,1.5565195937395166,0.8062078161058359,0.7031734163525523,0.3480599955303557,3.867341968229209,0.2986530235268966,9.48465,9.09565,9.65722,0.112275,0.002,3.027198699908206,0.39384201324948037,0.5788420132494804,-0.9220811924944604,6.864841426090135
B100,0.7353766911085711,0.1322160274585652,4.184873718465761,0.3387894409886888,0.6422216172023375,0.1311369437006957,0.9730545843223316,0.0755378583155481,1.0577910444269,0.1900409960007788,4.164256528253012,0.1751324510374926,8.00043,7.79822,8.15231,0.0883155,0.004,3.1208995299829927,0.23235333620917048,0.4173533362091705,-1.0639741884827685,7.046396987122094
B103,0.8660285189940174,0.2408733277895959,,,1.362731895371858,0.4942102091246929,0.8068173256907016,0.3416523101223093,1.7518717010852385,0.4993639233052444,3.8726619189752287,0.2798275273288946,8.23714,8.13449,8.55342,0.195771,0.004,2.950918567520267,0.27935745797352846,0.46435745797352845,-2.6468299220019214,7.331133716177543
B105,0.8049016846755831,0.2092336949094781,4.114671378366316,0.8802510333572511,0.9497387500606564,0.2421905254052162,1.0751758514162597,0.2488718756528912,1.5912329464874568,0.3736416527305989,3.832798486362024,0.1985667733806632,7.66563,7.43433,7.9707,0.0506242,0.004,3.030664476799918,0.25525376109699754,0.44025376109699754,-1.0840069015663976,7.258213055128406
B108,1.3071376321144357,0.4416308205083019,,,1.9550948802509216,0.9791755499260372,0.6921325675583244,0.5598561585790087,2.0943656495673,0.7381416312871041,3.417621778455045,0.340221975370118,9.39063,9.35167,9.40418,0.0637054,0.002,3.620090227718551,0.21477111289970757,0.39977111289970757,-1.6149114393624036,7.78765698478469
B111,0.8260375257201586,0.2148960759284808,,,1.1960009917789534,0.3972513203653126,0.8530265459799605,0.3740279096377502,1.5033362694433878,0.3503708834621192,3.0004369037792933,0.2546440598468376,9.1336,9.02396,9.26699,0.1157,0.002,2.620208952005912,0.33762524249335873,0.5226252424933587,-2.1300848988082137,7.186423815070492
B113,0.9988518498333716,0.259958541862316,3.519058856369346,0.3879990260544143,1.2045784950904952,0.3710500391246075,0.6742475852853441,0.2126492739999628,1.3457284347436778,0.3082107962618483,3.465734920401548,0.2673782084656028,9.03716,8.9905,9.07304,0.0466462,0.002,3.2941199753089916,0.24914047046860505,0.43414047046860504,-0.2249388810603543,7.345208675312544
B115,1.0398262344757272,0.3610321639218526,,,1.6323928387032656,0.8096391821130554,0.7949675393547323,0.5910687741437114,1.9761597735425176,0.662329864547322,4.114858959232244,0.3526607345998556,,,,,,,,,,9999.99
B117,1.0288712900378647,0.2143393640694472,4.186831731530349,0.7480159128154878,1.2541037262249808,0.2975845300748847,0.9011399127391984,0.2063589586393676,1.7549026209833094,0.3839766392070385,3.944387833585154,0.2026540926952986,8.17169,7.92846,8.3197,0.0930186,0.004,3.0787177513591244,0.40310095022136444,0.5881009502213644,-1.1081139801712243,7.372928831110726
B119,,,,,2.9493275344152656,2.389084394998706,0.1008658781901749,0.4450708748951835,1.427563271991604,0.3986997532544873,2.9509423801472328,5.088300346300582,,,,,,,,,,9999.99
B12,,,,,2.4376779464218417,2.001560057138382,0.3345954243477554,0.60106391984076,1.724593422002596,0.6421298797554349,3.201563769311426,0.8831287567116816,9.45661,9.36286,9.71731,0.143997,0.002,3.1344161906997345,0.45938155254069896,0.644381552540699,-0.1378416237752477,7.485554256845917
B121,1.2809536257854566,0.3660403803256899,4.330391355719423,0.6559555862173975,2.6511759440419858,0.7561863422758316,0.3435154128428029,0.1453102010614067,1.9276650551733765,0.3703385225516693,4.156563732260556,0.5971059730618146,7.92227,7.79028,8.09824,0.106068,0.004,2.9273831966106885,0.2828898904751233,0.4678898904751233,-1.4030081591087349,7.363625818521554
B122,2.0631003055722434,0.959831740343084,,,6.220296288413862,4.682219792883702,0.436624823767674,0.6921337826214908,4.770667919564299,1.6668545711513598,3.827128819192126,0.4988328677725936,8.2113,7.8699,8.5353,0.0737285,0.004,3.30474680652478,0.2449429908000837,0.4299429908000837,-2.129495430953088,8.10913525969159
B124,1.248570117808629,0.2707823518394437,3.634039773605492,0.3688052002504586,2.035474875947774,0.5608108111682166,0.3971568136238321,0.1516099522534107,1.5942638663855282,0.3080655289966564,3.570442426489937,0.4557215924947702,8.07689,7.72753,8.28071,0.0982035,0.004,2.34625906278806,0.5127887362319257,0.6977887362319257,-1.2877807108174322,7.057525716848497
