# from Cuevas-Otahola 2021MNRAS.500.4422C
ID R_g gamma gamma_minus gamma_plus R_c Rc_minus Rc_plus R_h Rh_minus Rh_plus R_t Rt_minus Rt_plus Mbound_M_ratio rho_0 rho_0_minus rho_0_plus Sigma_0 Sigma_0_minus Sigma_0_plus M M_minus M_plus L L_minus L_plus rho_h rho_h_minus rho_h_plus I_h I_h_minus I_h_plus sigma_p sigma_p_minus sigma_p_plus Reff_ini_Rjac_ini
D1	0.70	2.73	0.03	0.04	0.57	0.03	0.05	1.67	0.09	0.15	31.67	0.14	0.29	0.94	4.99	0.03	0.04	5.06	0.15	0.19	5.68	0.13	0.28	6.57	0.13	0.28	4.39	0.01	0.06	5.32	0.01	0.06	13.35	0.14	0.29	0.04
D4	0.70	2.97	0.13	0.15	2.68	0.28	0.31	6.18	0.20	0.23	7.42	0.54	0.58	0.57	2.61	0.12	0.13	3.35	0.13	0.14	5.24	0.34	0.36	6.13	0.34	0.36	2.25	0.56	0.59	3.75	0.56	0.59	3.78	0.45	0.48	0.20
D7	0.88	2.37	0.05	0.04	1.62	0.11	0.06	11.71	0.31	0.23	9.61	0.49	0.25	0.46	2.66	0.08	0.07	3.18	0.06	0.05	4.93	0.46	0.23	5.81	0.46	0.23	1.10	1.58	0.74	2.88	1.58	0.74	2.73	0.47	0.24	0.30
D8	2.61	3.39	0.02	0.02	2.21	0.04	0.04	4.07	0.02	0.02	11.76	0.07	0.07	0.85	2.33	0.05	0.05	2.98	0.07	0.07	4.62	0.04	0.04	5.51	0.04	0.04	2.17	0.04	0.04	3.49	0.04	0.04	2.29	0.06	0.06	0.06
D10	0.80	2.40	0.04	0.06	1.42	0.08	0.10	8.96	0.22	0.32	12.75	0.34	0.43	0.56	3.15	0.07	0.09	3.61	0.06	0.07	5.22	0.32	0.40	6.10	0.32	0.40	1.74	0.80	0.99	3.40	0.80	0.99	4.24	0.33	0.42	0.26
D14	1.12	3.89	0.07	0.06	2.34	0.10	0.08	3.71	0.06	0.05	4.44	0.20	0.16	0.59	2.10	0.08	0.08	2.78	0.12	0.11	4.41	0.06	0.05	5.30	0.06	0.05	2.08	0.04	0.03	3.36	0.04	0.03	1.74	0.15	0.12	0.14
D15	0.87	3.44	0.16	0.24	2.58	0.25	0.36	4.66	0.15	0.23	5.29	0.46	0.65	0.56	2.29	0.12	0.15	3.02	0.15	0.18	4.79	0.19	0.26	5.67	0.19	0.26	2.16	0.18	0.25	3.54	0.18	0.25	2.42	0.35	0.50	0.17
D17	1.01	2.93	0.09	0.11	2.41	0.18	0.20	5.75	0.15	0.17	6.82	0.36	0.38	0.56	2.21	0.10	0.11	2.91	0.11	0.12	4.72	0.24	0.23	5.61	0.24	0.23	1.82	0.35	0.33	3.29	0.35	0.33	2.21	0.30	0.31	0.19
D18	1.66	2.90	0.04	0.05	1.58	0.06	0.06	3.87	0.07	0.08	10.58	0.15	0.15	0.78	2.43	0.08	0.08	2.94	0.10	0.10	4.40	0.11	0.10	5.28	0.11	0.10	2.01	0.09	0.07	3.31	0.09	0.07	2.03	0.13	0.13	0.10
D23	3.75	3.43	0.03	0.01	1.01	0.03	0.02	1.83	0.04	0.02	37.77	0.09	0.04	0.99	3.71	0.06	0.03	4.03	0.10	0.05	4.98	0.05	0.03	5.87	0.05	0.03	3.57	0.00	0.00	4.54	0.00	0.00	5.78	0.07	0.03	0.01
